vendor,date,avg_discount_rate
Voila,2024-02-28,0.1304264087229967
Voila,2024-02-29,35.181359481066465
Voila,2024-03-01,8.62838452681899
Voila,2024-03-02,41.8112182803452
Voila,2024-03-03,45.83270990056917
Voila,2024-03-04,-16.81104504270479
Voila,2024-03-05,16.967384163290262
Voila,2024-03-06,42.469333107583225
Voila,2024-03-07,18.600451012607664
Voila,2024-03-08,11.963031471241266
Voila,2024-03-09,46.978334174491465
Voila,2024-03-10,11.733390933368355
Voila,2024-03-11,27.42994448170066
Voila,2024-03-12,20.084338136948645
Voila,2024-03-13,-12.79527221340686
Voila,2024-03-14,42.987747928127646
Voila,2024-03-15,-2.773858595173806
Voila,2024-03-16,-17.055832652840763
Voila,2024-03-17,2.954450349789113
Voila,2024-03-18,46.81525544030592
Voila,2024-03-19,42.26775212446228
Voila,2024-03-20,28.496238430961967
Voila,2024-03-21,24.83547696378082
Voila,2024-03-22,49.598884363658726
Voila,2024-03-23,25.89940593810752
Voila,2024-03-24,29.5971327717416
Voila,2024-03-25,18.08462172979489
Voila,2024-03-26,21.589941431302577
Voila,2024-03-27,0.24118161061778665
Voila,2024-03-28,-9.702044688165188
Voila,2024-03-29,47.411696277558804
Voila,2024-03-30,43.16093315836042
Voila,2024-03-31,28.349369489587843
Voila,2024-04-01,35.682719238102436
Voila,2024-04-02,-18.277042084373534
Voila,2024-04-03,13.445717976428568
Voila,2024-04-04,33.09216762660071
Voila,2024-04-05,-4.851444491650909
Voila,2024-04-06,2.272670534439385
Voila,2024-04-07,-3.7861950253136456
Voila,2024-04-08,-10.003998433239758
Voila,2024-04-09,9.01824350701645
Voila,2024-04-10,8.96070284070447
Voila,2024-04-11,5.819181564729661
Voila,2024-04-12,-9.328867658041418
Voila,2024-04-13,-10.283575558569282
Voila,2024-04-14,-3.6876130383461714
Voila,2024-04-15,12.617371517699212
Voila,2024-04-16,-1.3819151744246483
Voila,2024-04-17,40.04794007400051
Voila,2024-04-18,-16.791818332858384
Voila,2024-04-19,10.954005194362253
Voila,2024-04-20,35.92473919503391
Voila,2024-04-21,-11.467051801737398
Voila,2024-04-22,19.266358863096684
Voila,2024-04-23,-5.542802726849914
Voila,2024-04-24,-11.072784482967108
Voila,2024-04-25,32.73155050119385
Voila,2024-04-26,42.65317514073104
Voila,2024-04-27,6.2123943120241165
Voila,2024-04-28,26.55806362396106
Voila,2024-04-29,-13.361153735313565
Voila,2024-04-30,6.877874645870179
Voila,2024-05-01,-0.7931448798626661
Voila,2024-05-02,37.02480272157118
